"Path","Class","Length","SHA256","SafeForGitHub"
"handoff/11_ENVIRONMENT_MATRIX.md","Handoff","280","d24439d33b478b9bd0c091cb9cf61754bcf02f8220c74e979ccbd64ca6044b4a","NOT ASSESSED IN H0"
"handoff/13_OPERATIONAL_RUNBOOK.md","Handoff","427","9daae5e9e29d912b8ac8faa6c3629ffb66a82cf8293fc36d03cfbc93d7c8ce59","NOT ASSESSED IN H0"
"handoff/14_FILE_INVENTORY.csv","Handoff","129083","819e5d0ebbbdb719ab0dd7d2b44163daff0729cdc5fb66e52404e229d48f5b3d","NOT ASSESSED IN H0"
"images/catalog.js","Runtime","74","011e1e60896d506ef33c1e80f88ef6be85f5fd7118bea43da872a3b617f294a8","REQUIRES SENSITIVE-DATA REVIEW"
"images/mechlex-icon.svg","Runtime","600","6dad7efebccceb58f809efbc16849d35d883f6aa0d1236c4b28dfdbad9952a33","REQUIRES SENSITIVE-DATA REVIEW"
"images/README.md","Documentation","2107","38bb4ebe76f838c4afcb7a381114db9586db0367605f1ad7b70fd311dbb56ee6","REQUIRES SENSITIVE-DATA REVIEW"
"images/README_IMAGES.txt","Documentation","939","4411aa3a3d84adf5716731480de88776576c8b1a63219e37c004cf4b56f5ffbf","REQUIRES SENSITIVE-DATA REVIEW"
"qa/MechLex_Gemini_Post_Remediation_Deep_QA_v3.docx","QA","55218","eecc789f4e42cd5058ba67d69fb3c3346ef11173a31adb2ad510711eb65ecc68","REQUIRES SENSITIVE-DATA REVIEW"
"qa/MechLex_Gemini_Post_Remediation_Deep_QA_v3.md","QA","43174","5d1f51e407e0b3d99c748f70ffc98472ad98dd11d11b7263ebc3aa7392043d99","REQUIRES SENSITIVE-DATA REVIEW"
"qa/MechLex_Gemini_Post_Remediation_Deep_QA_v3.txt","QA","43174","5d1f51e407e0b3d99c748f70ffc98472ad98dd11d11b7263ebc3aa7392043d99","REQUIRES SENSITIVE-DATA REVIEW"
"qa/QA_TEST_MATRIX.csv","QA","27482","16577ae6ebf590c7df713822b26187b753f968bba5c29207ce9d745c95de6d4e","REQUIRES SENSITIVE-DATA REVIEW"
"qa/architecture/DATA_FLOW.md","QA","2372","823969df1e16d17ce7046648f5c757209ec5eacfe6c4fc423204c82efb6be62b","REQUIRES SENSITIVE-DATA REVIEW"
"qa/architecture/PERSISTENCE_AND_LOCKING.md","QA","2154","9ac803e13bdccb01b1e8cece2b0124225f4e919782f84dd32353683888e6b30e","REQUIRES SENSITIVE-DATA REVIEW"
"qa/architecture/ROLE_MODEL.md","QA","1473","97a6511c4d8dc85122c18a6df97cf7ea0d8db056df8c7dc1d2f361f483c9cf47","REQUIRES SENSITIVE-DATA REVIEW"
"qa/architecture/SYSTEM_MAP.md","QA","2726","e894b7eaa01213b7fbcb5ee3454bb0e7e9e110026422d327d1abda0e411604a9","REQUIRES SENSITIVE-DATA REVIEW"
"qa/automation/accessibility.spec.js","QA","3440","4b083e88335c641758ff7dd2aa1ab122ae6b995751384085461744ec3100d506","REQUIRES SENSITIVE-DATA REVIEW"
"qa/automation/after-fill.png","QA","114410","1bce61b4c33f3458050ac4bd9a0c332dcccc7c32b02b3323641b6c11e23fb620","REQUIRES SENSITIVE-DATA REVIEW"
"qa/automation/all_elements.json","QA","50030","32b7bc7d42f8ca76bb19a0d7d817c512a6f44f40d7c642677ca992bf4588a1c0","REQUIRES SENSITIVE-DATA REVIEW"
"qa/automation/build_clean_hierarchy.js","QA","9514","c15f2de0c6ef107119ce3b3d82810b7ae4070f6d547398bb7c049c284083598c","REQUIRES SENSITIVE-DATA REVIEW"
"qa/automation/capture_initial.js","QA","518","b89d3f858c68edf28d374692f84d25f05387217a5a69b3813e6424d05501d3f4","REQUIRES SENSITIVE-DATA REVIEW"
"qa/automation/capture_qa_screenshots.js","QA","1334","193835827a30ddae607a81ed125b94d49c1ad8f51962637a8a09480a9a3be13f","REQUIRES SENSITIVE-DATA REVIEW"
"qa/automation/check_empty_terms.js","QA","382","d7495c7d1f641d56847f4cdb63dc99c7ce5a916add421f8bcf278a26bd16587b","REQUIRES SENSITIVE-DATA REVIEW"
"qa/automation/debug_mindmap.js","QA","1451","462c3c8fd164c0cef31649754df589e993fe619944269a8276c29c8fecfc4370","REQUIRES SENSITIVE-DATA REVIEW"
"qa/automation/find_all_elements.js","QA","1150","3ffe0c8f12e97759021dfb87a85621c42d5f534650a4d737e0bf3a9cfa38c9e5","REQUIRES SENSITIVE-DATA REVIEW"
"qa/automation/find_mysterious_element.js","QA","1667","fd2c0f0f760a1945492ff918a4dd50d74c9d36c38fa8c86647c2fc45184bd383","REQUIRES SENSITIVE-DATA REVIEW"
"qa/automation/fix_checksum.ps1","QA","607","8fbee11c2fdeb7f948892b07a65ff32ea2e3ee9d58f17840d8bcee0d42263655","REQUIRES SENSITIVE-DATA REVIEW"
"qa/automation/generate_named_test_images.ps1","QA","912","5730b5fbd7a94b723d67bfe27bd07d8f5d6d8ff4ac47d1dc15efed8f228e288f","REQUIRES SENSITIVE-DATA REVIEW"
"qa/automation/generate_test_images.ps1","QA","1314","4c755db74f5ab9b558b85dbb96ca57791e6f8c626d45b362838374cf406f1fb0","REQUIRES SENSITIVE-DATA REVIEW"
"qa/automation/package-lock.json","QA","2836","a340ff05af2e6d5f5977a115a2ea798444a268ab6bb55634214c56f2d15cb1de","REQUIRES SENSITIVE-DATA REVIEW"
"qa/automation/package.json","QA","322","353bf1d88d644b53f3fad18af039ac8f10987d1c78e682763b41cab894dd0618","REQUIRES SENSITIVE-DATA REVIEW"
"qa/automation/qa_hierarchy_demo_part1.js","QA","33261","7dcf2f97a9a44230545ae571e344380c4e146f0751b9ccd001d0ebf07a28d539","REQUIRES SENSITIVE-DATA REVIEW"
"qa/automation/run-server-admin.ps1","QA","143","de5bc508d9f7cce7726d691897d77bf28af59a7aad8ceb33412a2739484c8219","REQUIRES SENSITIVE-DATA REVIEW"
"qa/automation/terms-tab.png","QA","131349","387c440125edff3db4e04db288217a0f6b6706c469a19e0ecd8b2a042c2f0070","REQUIRES SENSITIVE-DATA REVIEW"
"qa/automation/test-domain.js","QA","1423","82e30f8f8405ee8e98d1a52c88f6a5e3cac822f40bc228cfed7ce466dff4d819","REQUIRES SENSITIVE-DATA REVIEW"
"qa/automation/weird_elements.json","QA","10963","ba1b762b04a89d684cd6e018b07d9b8b730fc87ece1cea14e6945a4f2796bd35","REQUIRES SENSITIVE-DATA REVIEW"
"qa/automation/screenshots/1_main_domain_expanded.png","QA","402860","5fbb0915c43ef74514f971fa8c2ded810445d81d4d1d7c057f7b75e4078573c9","REQUIRES SENSITIVE-DATA REVIEW"
"qa/automation/screenshots/mindmap_clean_hierarchy.png","QA","207357","87e6027a0c15630a8f8c51a748169a48fd5bc5d70c157fda76e0b23b60186cba","REQUIRES SENSITIVE-DATA REVIEW"
"qa/automation/screenshots/mindmap_debug.png","QA","259952","e7d6faf0bd4a3f8375bc1a2aa859c13a6f0dd5ac669cf226c3e2bcf27120ee5e","REQUIRES SENSITIVE-DATA REVIEW"
"qa/automation/screenshots/mindmap_initial.png","QA","254661","2646a48f6151650fb3a31b4deb565bec72ceb27848c7c811ac12ff5c6fb523ea","REQUIRES SENSITIVE-DATA REVIEW"
"qa/automation/test-images/Ball_Bearing.png","QA","2147","eb2fd3ddc17805235cb3c955124c447429ee4dbb440a92872a601f7e971bf359","REQUIRES SENSITIVE-DATA REVIEW"
"qa/automation/test-images/FDM_Layers.png","QA","2106","95f5f06270df2803c2cbc47cc8eaa1ecca9174d47903798e604f60b51abaa726","REQUIRES SENSITIVE-DATA REVIEW"
"qa/automation/test-images/Gears.png","QA","1832","3604d05d3c5908572cefa52c233b74c3c4bc5aaca4d5f4befcd27bf224612842","REQUIRES SENSITIVE-DATA REVIEW"
"qa/automation/test-images/Otto_Cycle.png","QA","2088","a7c40e30040359cf232e1bcff4e8015bb24e97635f85e89657f91e5c39b2425a","REQUIRES SENSITIVE-DATA REVIEW"
"qa/automation/test-images/PID_Response.png","QA","2168","40ad9698f38541812e6eae6912bf8714d282805294b7f4fee3c10a6047bac7f7","REQUIRES SENSITIVE-DATA REVIEW"
"qa/automation/test-images/Pump_Curve.png","QA","2060","f5d1de16dcfdd01784458b7d5f4700d5bd6bc4a720fa6df333966e613f10f4e4","REQUIRES SENSITIVE-DATA REVIEW"
"qa/automation/test-images/S-N_Curve.png","QA","2008","62a801942f408604021a02711f2fc8d8d8935fc25b15b9eea024d133d6dbabf2","REQUIRES SENSITIVE-DATA REVIEW"
"qa/automation/test-images/Stress-Strain.png","QA","2215","4d715aae6b806c6a1810716e95b12ca66c0855e08e799d45940855d2fa82f8bb","REQUIRES SENSITIVE-DATA REVIEW"
"qa/automation/test-images/Turning.png","QA","1877","afe3553c10b0d451a0ad3104c65b13b968c81ec593ee7861624480a67a5398ee","REQUIRES SENSITIVE-DATA REVIEW"
"qa/automation/test-images/Vapor_Compression.png","QA","2465","98cf76bc90650f8d93d84031e4637a355bdcce1b60bd1424220a50e3f98a90fb","REQUIRES SENSITIVE-DATA REVIEW"
"qa/automation/test-results/.last-run.json","QA","45","91d1c43004802cd49950d78eb11c8fa7d05da8ffffe219a8b13b2f561bc00903","REQUIRES SENSITIVE-DATA REVIEW"
"qa/evidence/baseline/copy-verification.json","QA","979","db58ab55e57a5a890f5563f4dd257b13357f604ee07af8772962f9e0829dedc6","REQUIRES SENSITIVE-DATA REVIEW"
"qa/evidence/baseline/external-shared-inventory.json","QA","2383","ca619ac7434a8a537391ed55bf90cf7c140bea56ca69f4cf48e080b396a42011","REQUIRES SENSITIVE-DATA REVIEW"
"qa/evidence/baseline/external-shared-state-active.json","QA","846087","648647f78f8cf293a7ca44b168a4e63737816cb0c0481629367b1b1c8dadefd7","REQUIRES SENSITIVE-DATA REVIEW"
"qa/evidence/baseline/external-shared-state-previous.json","QA","79852","d6097871d73bbb1f1c68c985aa41d1664a050a9a1633092245b4635342451ce6","REQUIRES SENSITIVE-DATA REVIEW"
"qa/evidence/baseline/file-list.txt","QA","2963","77dbd01a7934fe9393a36f8ea1e0bd0f18b4c4aa10330c3766167064a1fb8ea7","REQUIRES SENSITIVE-DATA REVIEW"
"qa/evidence/baseline/inventory.json","QA","330","d62f2ad2c47c557564349a3032744a22d2ff395c60df3f76c4c3ce43705c164a","REQUIRES SENSITIVE-DATA REVIEW"
"qa/evidence/commands/critical-regression-20260724T222035302Z.log","QA","3010","991f05643cfe7501e58559fd576edaf8cf3bba27a6fc685f8529a5ba1ad891c3","REQUIRES SENSITIVE-DATA REVIEW"
"qa/evidence/commands/generate-image-fixtures.log","QA","1162","85a83cecbc94a6b5ad866a4f3df503297e777eb39f29bc7bceb981eb8ddeb487","REQUIRES SENSITIVE-DATA REVIEW"
"qa/evidence/commands/phase0-preserve.log","QA","318","8c3d284a67d917ffa829283d03e77511a6b4bac90b2b6341f1a3123d81214457","REQUIRES SENSITIVE-DATA REVIEW"
"qa/evidence/commands/render-qa-plan-docx.log","QA","4498","40bb1766657058cfc5aab613a113dc6b93e88ea6257fa0033ec58e72282dece9","REQUIRES SENSITIVE-DATA REVIEW"
"qa/evidence/commands/shared-api-qa.log","QA","576","44e194a16b125724129f4f4843d4b6bc1a4c6686265590a052b07a8fe962d568","REQUIRES SENSITIVE-DATA REVIEW"
"qa/evidence/commands/static-audit.log","QA","1766","c42f864cea9fa2856d1e0ab440b2bc3d8f5f82f3ff4c58e16d8dd07eaba05010","REQUIRES SENSITIVE-DATA REVIEW"
"qa/evidence/hashes/baseline-sha256.csv","QA","9467","bd02a25e8be817e7e52e6ae37696075dbc316b558a1cd77954bf96b7ad6d4f16","REQUIRES SENSITIVE-DATA REVIEW"
"qa/evidence/hashes/baseline-sha256.txt","QA","6923","091348d33ed1dd97b547103b5b0cb4300775439e5a39feff9dd9c4432dd41566","REQUIRES SENSITIVE-DATA REVIEW"
"qa/evidence/logs/browser-core-results.json","QA","14196","3d5f9f899c26f027d1403a803f5ae2a0e8caf164a57f418201d31416700bd3d6","REQUIRES SENSITIVE-DATA REVIEW"
"qa/evidence/logs/browser-critical-results.json","QA","13864","e737e94ae105a03135f1bff7ea187f2b53149b73d10a4c2774d5cc3dfbe141e9","REQUIRES SENSITIVE-DATA REVIEW"
"qa/evidence/logs/browser-image-results.json","QA","8530","941e5781b1dbe98c645132a126bb7f251116ec45d6229b74d6934d80e5bf27e7","REQUIRES SENSITIVE-DATA REVIEW"
"qa/evidence/logs/browser-qa-results.json","QA","13864","e737e94ae105a03135f1bff7ea187f2b53149b73d10a4c2774d5cc3dfbe141e9","REQUIRES SENSITIVE-DATA REVIEW"
"qa/evidence/logs/critical-browser-server-20260724T222035302Z.err.log","QA","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","REQUIRES SENSITIVE-DATA REVIEW"
"qa/evidence/logs/critical-browser-server-20260724T222035302Z.out.log","QA","320","c6742f618353db27a6dd2e4790a1a03b9716cc323e6d6b42d1e1eb7bfa26d69b","REQUIRES SENSITIVE-DATA REVIEW"
"qa/evidence/logs/critical-regression-results.json","QA","2556","3887c6b7ca3c9eb0993711f1a0ce36e562710cff236023a2e323f9c16e358bc6","REQUIRES SENSITIVE-DATA REVIEW"
"qa/evidence/logs/shared-api-results.json","QA","7793","68489f9fed67bc4a3ccdfafeeefb95482afb6035559c48541122fc521ddc3e5e","REQUIRES SENSITIVE-DATA REVIEW"
"qa/evidence/logs/static-audit.json","QA","3573","be79c2085027b9a4b0e21f1f39122aaf1d6fc290cd1aaf833e7de501ead2fd8e","REQUIRES SENSITIVE-DATA REVIEW"
"qa/evidence/logs/test-matrix-summary.json","QA","281","79ab56d5bc31560dccb3b8e78feba80cfced221b16588e7a5a93da61185febc2","REQUIRES SENSITIVE-DATA REVIEW"
"qa/evidence/logs/ux-edge-cases.json","QA","7202","7c50042a111f64433ae1acdf00fa3463e40b7430357a53cf5cc69b2adce52ba4","REQUIRES SENSITIVE-DATA REVIEW"
"qa/evidence/performance/browser-performance.json","QA","45","ff490445ecd3dcd1125211f05c98f0ef73cda163dd0ff35a1f59dbdc918f09f6","REQUIRES SENSITIVE-DATA REVIEW"
"qa/evidence/performance/image-capacity-api.json","QA","2853","bde845284c8c45a9f627d20e13c15244905ffea12467d565b54e2c140763219b","REQUIRES SENSITIVE-DATA REVIEW"
"qa/evidence/recovery/browser-full-admin-backup.json","QA","32836","d40bd4cbdda8a71328c3514295e3f07724501f8fa83603b32618216f0fc1380a","REQUIRES SENSITIVE-DATA REVIEW"
"qa/evidence/screenshots/content-admin.png","QA","578108","db4367d7a3790c83481776f794311e61880c6f664cf2b6daa8f749498f3af3ae","REQUIRES SENSITIVE-DATA REVIEW"
"qa/evidence/screenshots/desktop-home.png","QA","595697","bc946061f2933603e965613de0d6975ae90c3d0c52914770320c4be00b86f48c","REQUIRES SENSITIVE-DATA REVIEW"
"qa/evidence/screenshots/desktop-term-modal.png","QA","564175","b96e6142ffb423a7193e14431b125b156f3570cefe9c02d3952249690f0eb6c3","REQUIRES SENSITIVE-DATA REVIEW"
"qa/evidence/screenshots/mobile-390.png","QA","650296","e2bf4c4b59954b7bff6793d7ea5ee58856818c7abbc288a952cb17f6a6c3ed9e","REQUIRES SENSITIVE-DATA REVIEW"
"qa/evidence/screenshots/restore-second-context.png","QA","129675","d35411092fbbcd97fb8045791ec77aed2a0479e2f46e97337854df9363762f00","REQUIRES SENSITIVE-DATA REVIEW"
"qa/evidence/screenshots/security-direct-super-bypass.png","QA","436566","3510e009c8c2e7fd3b2d3fc3ca7806553c31629f613e621108a957029c0de9fb","REQUIRES SENSITIVE-DATA REVIEW"
"qa/evidence/screenshots/super-admin.png","QA","701409","cf78621648dcfba31214aa890aea8e32b33b5cb4fd6ef343e4dd155cc61d7f8a","REQUIRES SENSITIVE-DATA REVIEW"
"qa/evidence/screenshots/unsaved-change-closed.png","QA","595769","c6983c98991cd3787a235b47b0a92b7784b6465e0c7206fa8b2d5166f6cc82a4","REQUIRES SENSITIVE-DATA REVIEW"
"qa/patches/PATCH_REGISTER.md","QA","325","3a666acf87ff469e1879a0e67f319d4453247538b651f334b3150cca25977634","REQUIRES SENSITIVE-DATA REVIEW"
"qa/reports/BACKUP_AND_RECOVERY.md","QA","1163","5a5e65c733fc6ce6c5d120684ad4a94a860958f6e8acd6d045ab53428f10703b","REQUIRES SENSITIVE-DATA REVIEW"
"qa/reports/CONCURRENCY_AND_SYNC.md","QA","895","00358a53e225b50837f05ad0f5261759e7d4447032600af2ee4cac133817f79b","REQUIRES SENSITIVE-DATA REVIEW"
"qa/reports/ENVIRONMENT_MATRIX.md","QA","785","0d9833b88d2923890ede1a33b5ad66d3a5caa2df4d493c1e73888bc15f36b613","REQUIRES SENSITIVE-DATA REVIEW"
"qa/reports/EVIDENCE_INDEX.md","QA","950","9d51c6562fc71e9fc6d86b26a73eceb2581ecbda74b8bea8a16942905c3f7625","REQUIRES SENSITIVE-DATA REVIEW"
"qa/reports/EXECUTIVE_SUMMARY_EN.md","QA","778","a5a7edc979b8cd10665bb37c57cbf61f7aa2e770b9409df8e21ffc11083ed080","REQUIRES SENSITIVE-DATA REVIEW"
"qa/reports/EXECUTIVE_SUMMARY_HE.md","QA","914","ded1da201e1c35ae22716e5a85a1a82f5146636b5b175766680e4dfe12a315de","REQUIRES SENSITIVE-DATA REVIEW"
"qa/reports/PERFORMANCE_AND_CAPACITY.md","QA","800","251ce1330e8348df3666b8116a06bc51fe887f92561fdcf9b5a1bb18f3588b8b","REQUIRES SENSITIVE-DATA REVIEW"
