"Path","HandoffClass","HandoffRequired","RebuiltRuntimeRequired","Error"
"qa/automation/screenshots/1_main_domain_expanded.png","QA","Yes","No","Incorrect runtime-required label"
"qa/automation/screenshots/mindmap_clean_hierarchy.png","QA","Yes","No","Incorrect runtime-required label"
"qa/automation/screenshots/mindmap_debug.png","QA","Yes","No","Incorrect runtime-required label"
"qa/automation/screenshots/mindmap_initial.png","QA","Yes","No","Incorrect runtime-required label"
"qa/automation/terms-tab.png","QA","Yes","No","Incorrect runtime-required label"
"qa/automation/test-domain.js","QA","Yes","No","Incorrect runtime-required label"
"qa/automation/test-images/Ball_Bearing.png","QA","Yes","No","Incorrect runtime-required label"
"qa/automation/test-images/FDM_Layers.png","QA","Yes","No","Incorrect runtime-required label"
"qa/automation/test-images/Gears.png","QA","Yes","No","Incorrect runtime-required label"
"qa/automation/test-images/Otto_Cycle.png","QA","Yes","No","Incorrect runtime-required label"
"qa/automation/test-images/PID_Response.png","QA","Yes","No","Incorrect runtime-required label"
"qa/automation/test-images/Pump_Curve.png","QA","Yes","No","Incorrect runtime-required label"
"qa/automation/test-images/S-N_Curve.png","QA","Yes","No","Incorrect runtime-required label"
"qa/automation/test-images/Stress-Strain.png","QA","Yes","No","Incorrect runtime-required label"
"qa/automation/test-images/Turning.png","QA","Yes","No","Incorrect runtime-required label"
"qa/automation/test-images/Vapor_Compression.png","QA","Yes","No","Incorrect runtime-required label"
"qa/automation/test-results/.last-run.json","QA","Yes","No","Incorrect runtime-required label"
"qa/automation/weird_elements.json","QA","Yes","No","Incorrect runtime-required label"
"qa/evidence/baseline/copy-verification.json","QA","Yes","No","Incorrect runtime-required label"
"qa/evidence/baseline/external-shared-inventory.json","QA","Yes","No","Incorrect runtime-required label"
"qa/evidence/baseline/external-shared-state-active.json","QA","Yes","No","Incorrect runtime-required label"
"qa/evidence/baseline/external-shared-state-previous.json","QA","Yes","No","Incorrect runtime-required label"
"qa/evidence/baseline/file-list.txt","QA","Yes","No","Incorrect runtime-required label"
"qa/evidence/baseline/inventory.json","QA","Yes","No","Incorrect runtime-required label"
"qa/evidence/commands/critical-regression-20260724T222035302Z.log","QA","Yes","No","Incorrect runtime-required label"
"qa/evidence/commands/generate-image-fixtures.log","QA","Yes","No","Incorrect runtime-required label"
"qa/evidence/commands/phase0-preserve.log","QA","Yes","No","Incorrect runtime-required label"
"qa/evidence/commands/render-qa-plan-docx.log","QA","Yes","No","Incorrect runtime-required label"
"qa/evidence/commands/shared-api-qa.log","QA","Yes","No","Incorrect runtime-required label"
"qa/evidence/commands/static-audit.log","QA","Yes","No","Incorrect runtime-required label"
"qa/evidence/hashes/baseline-sha256.csv","QA","Yes","No","Incorrect runtime-required label"
"qa/evidence/hashes/baseline-sha256.txt","QA","Yes","No","Incorrect runtime-required label"
"qa/evidence/logs/browser-core-results.json","QA","Yes","No","Incorrect runtime-required label"
"qa/evidence/logs/browser-critical-results.json","QA","Yes","No","Incorrect runtime-required label"
"qa/evidence/logs/browser-image-results.json","QA","Yes","No","Incorrect runtime-required label"
"qa/evidence/logs/browser-qa-results.json","QA","Yes","No","Incorrect runtime-required label"
"qa/evidence/logs/critical-browser-server-20260724T222035302Z.err.log","QA","Yes","No","Incorrect runtime-required label"
"qa/evidence/logs/critical-browser-server-20260724T222035302Z.out.log","QA","Yes","No","Incorrect runtime-required label"
"qa/evidence/logs/critical-regression-results.json","QA","Yes","No","Incorrect runtime-required label"
"qa/evidence/logs/shared-api-results.json","QA","Yes","No","Incorrect runtime-required label"
"qa/evidence/logs/static-audit.json","QA","Yes","No","Incorrect runtime-required label"
"qa/evidence/logs/test-matrix-summary.json","QA","Yes","No","Incorrect runtime-required label"
"qa/evidence/logs/ux-edge-cases.json","QA","Yes","No","Incorrect runtime-required label"
"qa/evidence/performance/browser-performance.json","QA","Yes","No","Incorrect runtime-required label"
"qa/evidence/performance/image-capacity-api.json","QA","Yes","No","Incorrect runtime-required label"
"qa/evidence/recovery/browser-full-admin-backup.json","QA","Yes","No","Incorrect runtime-required label"
"qa/evidence/screenshots/content-admin.png","QA","Yes","No","Incorrect runtime-required label"
"qa/evidence/screenshots/desktop-home.png","QA","Yes","No","Incorrect runtime-required label"
"qa/evidence/screenshots/desktop-term-modal.png","QA","Yes","No","Incorrect runtime-required label"
"qa/evidence/screenshots/mobile-390.png","QA","Yes","No","Incorrect runtime-required label"
"qa/evidence/screenshots/restore-second-context.png","QA","Yes","No","Incorrect runtime-required label"
"qa/evidence/screenshots/security-direct-super-bypass.png","QA","Yes","No","Incorrect runtime-required label"
"qa/evidence/screenshots/super-admin.png","QA","Yes","No","Incorrect runtime-required label"
"qa/evidence/screenshots/unsaved-change-closed.png","QA","Yes","No","Incorrect runtime-required label"
"qa/MechLex_Gemini_Post_Remediation_Deep_QA_v3.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/MechLex_Gemini_Post_Remediation_Deep_QA_v3.md","QA","Yes","No","Incorrect runtime-required label"
"qa/MechLex_Gemini_Post_Remediation_Deep_QA_v3.txt","QA","Yes","No","Incorrect runtime-required label"
"qa/patches/PATCH_REGISTER.md","QA","Yes","No","Incorrect runtime-required label"
"qa/QA_TEST_MATRIX.csv","QA","Yes","No","Incorrect runtime-required label"
"qa/reports/BACKUP_AND_RECOVERY.md","QA","Yes","No","Incorrect runtime-required label"
"qa/reports/CONCURRENCY_AND_SYNC.md","QA","Yes","No","Incorrect runtime-required label"
"qa/reports/ENVIRONMENT_MATRIX.md","QA","Yes","No","Incorrect runtime-required label"
"qa/reports/EVIDENCE_INDEX.md","QA","Yes","No","Incorrect runtime-required label"
"qa/reports/EXECUTIVE_SUMMARY_EN.md","QA","Yes","No","Incorrect runtime-required label"
"qa/reports/EXECUTIVE_SUMMARY_HE.md","QA","Yes","No","Incorrect runtime-required label"
"qa/reports/PERFORMANCE_AND_CAPACITY.md","QA","Yes","No","Incorrect runtime-required label"
"qa/reports/ROADMAP.md","QA","Yes","No","Incorrect runtime-required label"
"qa/reports/SECURITY_PERMISSION_REALITY.md","QA","Yes","No","Incorrect runtime-required label"
"qa/reports/TOP_IMPROVEMENTS.md","QA","Yes","No","Incorrect runtime-required label"
"qa/reports/TOP_RISKS.md","QA","Yes","No","Incorrect runtime-required label"
"qa/scripts/build-test-matrix.ps1","QA","Yes","No","Incorrect runtime-required label"
"qa/scripts/phase0-preserve.ps1","QA","Yes","No","Incorrect runtime-required label"
"qa/scripts/run-critical-regression.ps1","QA","Yes","No","Incorrect runtime-required label"
"qa/tests/browser/browser_qa.cjs","QA","Yes","No","Incorrect runtime-required label"
"qa/tests/browser/ux_edge_cases.cjs","QA","Yes","No","Incorrect runtime-required label"
"qa/tests/concurrency/shared_api_qa.mjs","QA","Yes","No","Incorrect runtime-required label"
"qa/tests/concurrency_simulator.ps1","QA","Yes","No","Incorrect runtime-required label"
"qa/tests/fixtures/generate_image_fixtures.py","QA","Yes","No","Incorrect runtime-required label"
"qa/tests/fixtures/image-fixtures.json","QA","Yes","No","Incorrect runtime-required label"
"qa/tests/fixtures/mechlex-qa-10mb.png","QA","Yes","No","Incorrect runtime-required label"
"qa/tests/fixtures/mechlex-qa-15mb.png","QA","Yes","No","Incorrect runtime-required label"
"qa/tests/fixtures/mechlex-qa-1mb.png","QA","Yes","No","Incorrect runtime-required label"
"qa/tests/fixtures/mechlex-qa-3mb.png","QA","Yes","No","Incorrect runtime-required label"
"qa/tests/fixtures/mechlex-qa-5mb.png","QA","Yes","No","Incorrect runtime-required label"
"qa/tests/fixtures/mechlex-qa-8mb.png","QA","Yes","No","Incorrect runtime-required label"
"qa/tests/fixtures/mechlex-qa-corrupt.png","QA","Yes","No","Incorrect runtime-required label"
"qa/tests/integration/static_audit.mjs","QA","Yes","No","Incorrect runtime-required label"
"qa/tests/performance/image_capacity_api.mjs","QA","Yes","No","Incorrect runtime-required label"
"qa/tests/regression_suite.ps1","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/app.js","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/backups/content-backup-initial.json","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/backups/full-admin-backup-initial.json","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/backups/README.md","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/CHANGELOG_HE.txt","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/core/boot.js","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/core/inline-editor.js","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/core/integrity.js","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/core/persistence.js","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/core/README.md","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/core/shared-sync.js","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/core/start-local-server.ps1","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/data/mechlex-data.js","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/data/README.md","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/images/catalog.js","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/images/mechlex-icon.svg","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/images/README.md","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/images/README_IMAGES.txt","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/index.html","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/QUALITY_REPORT_HE.txt","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/README.md","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/README_HE.txt","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/SHARED_DATA_PATH.txt","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/START_MECHLEX.bat","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/style.css","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/TEST_REPORT_HE.txt","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/VERSION.txt","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/גיבוי וורד - MechLex_Visual_Admin_Fork/app.js.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/גיבוי וורד - MechLex_Visual_Admin_Fork/backups/content-backup-initial.json.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/גיבוי וורד - MechLex_Visual_Admin_Fork/backups/full-admin-backup-initial.json.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/גיבוי וורד - MechLex_Visual_Admin_Fork/CHANGELOG_HE.txt.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/גיבוי וורד - MechLex_Visual_Admin_Fork/core/boot.js.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/גיבוי וורד - MechLex_Visual_Admin_Fork/core/inline-editor.js.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/גיבוי וורד - MechLex_Visual_Admin_Fork/core/integrity.js.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/גיבוי וורד - MechLex_Visual_Admin_Fork/core/persistence.js.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/גיבוי וורד - MechLex_Visual_Admin_Fork/core/shared-sync.js.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/גיבוי וורד - MechLex_Visual_Admin_Fork/core/start-local-server.ps1.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/גיבוי וורד - MechLex_Visual_Admin_Fork/data/mechlex-data.js.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/גיבוי וורד - MechLex_Visual_Admin_Fork/images/catalog.js.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/גיבוי וורד - MechLex_Visual_Admin_Fork/images/mechlex-icon.svg.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/גיבוי וורד - MechLex_Visual_Admin_Fork/images/README_IMAGES.txt.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/גיבוי וורד - MechLex_Visual_Admin_Fork/index.html.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/גיבוי וורד - MechLex_Visual_Admin_Fork/MANIFEST_SHA256.txt.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/גיבוי וורד - MechLex_Visual_Admin_Fork/package.json.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/גיבוי וורד - MechLex_Visual_Admin_Fork/QUALITY_REPORT_HE.txt.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/גיבוי וורד - MechLex_Visual_Admin_Fork/README_HE.txt.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/גיבוי וורד - MechLex_Visual_Admin_Fork/SHARED_DATA_PATH.txt.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/גיבוי וורד - MechLex_Visual_Admin_Fork/START_MECHLEX.bat.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/גיבוי וורד - MechLex_Visual_Admin_Fork/style.css.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/גיבוי וורד - MechLex_Visual_Admin_Fork/tests/browser-layout.cjs.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/גיבוי וורד - MechLex_Visual_Admin_Fork/tests/browser-smoke.cjs.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/גיבוי וורד - MechLex_Visual_Admin_Fork/tests/build-manifest.cjs.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/גיבוי וורד - MechLex_Visual_Admin_Fork/tests/build-word-backup.py.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/גיבוי וורד - MechLex_Visual_Admin_Fork/tests/README_HE.txt.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/גיבוי וורד - MechLex_Visual_Admin_Fork/tests/shared-sync.cjs.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/גיבוי וורד - MechLex_Visual_Admin_Fork/tests/validate-project.cjs.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/גיבוי וורד - MechLex_Visual_Admin_Fork/TEST_REPORT_HE.txt.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/גיבוי וורד - MechLex_Visual_Admin_Fork/VERSION.txt.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/גיבוי וורד - MechLex_Visual_Admin_Fork/הוראות_התקנה.txt.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/baseline-preserved/הוראות_התקנה.txt","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/app.js","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/backups/content-backup-initial.json","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/backups/full-admin-backup-initial.json","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/backups/README.md","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/CHANGELOG_HE.txt","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/core/boot.js","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/core/inline-editor.js","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/core/integrity.js","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/core/persistence.js","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/core/README.md","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/core/shared-sync.js","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/core/start-local-server.ps1","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/data/mechlex-data.js","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/data/README.md","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/images/catalog.js","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/images/mechlex-icon.svg","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/images/README.md","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/images/README_IMAGES.txt","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/index.html","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/QUALITY_REPORT_HE.txt","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/README.md","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/README_HE.txt","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/SHARED_DATA_PATH.txt","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/START_MECHLEX.bat","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/style.css","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/TEST_REPORT_HE.txt","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/VERSION.txt","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/גיבוי וורד - MechLex_Visual_Admin_Fork/app.js.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/גיבוי וורד - MechLex_Visual_Admin_Fork/backups/content-backup-initial.json.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/גיבוי וורד - MechLex_Visual_Admin_Fork/backups/full-admin-backup-initial.json.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/גיבוי וורד - MechLex_Visual_Admin_Fork/CHANGELOG_HE.txt.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/גיבוי וורד - MechLex_Visual_Admin_Fork/core/boot.js.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/גיבוי וורד - MechLex_Visual_Admin_Fork/core/inline-editor.js.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/גיבוי וורד - MechLex_Visual_Admin_Fork/core/integrity.js.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/גיבוי וורד - MechLex_Visual_Admin_Fork/core/persistence.js.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/גיבוי וורד - MechLex_Visual_Admin_Fork/core/shared-sync.js.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/גיבוי וורד - MechLex_Visual_Admin_Fork/core/start-local-server.ps1.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/גיבוי וורד - MechLex_Visual_Admin_Fork/data/mechlex-data.js.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/גיבוי וורד - MechLex_Visual_Admin_Fork/images/catalog.js.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/גיבוי וורד - MechLex_Visual_Admin_Fork/images/mechlex-icon.svg.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/גיבוי וורד - MechLex_Visual_Admin_Fork/images/README_IMAGES.txt.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/גיבוי וורד - MechLex_Visual_Admin_Fork/index.html.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/גיבוי וורד - MechLex_Visual_Admin_Fork/MANIFEST_SHA256.txt.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/גיבוי וורד - MechLex_Visual_Admin_Fork/package.json.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/גיבוי וורד - MechLex_Visual_Admin_Fork/QUALITY_REPORT_HE.txt.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/גיבוי וורד - MechLex_Visual_Admin_Fork/README_HE.txt.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/גיבוי וורד - MechLex_Visual_Admin_Fork/SHARED_DATA_PATH.txt.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/גיבוי וורד - MechLex_Visual_Admin_Fork/START_MECHLEX.bat.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/גיבוי וורד - MechLex_Visual_Admin_Fork/style.css.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/גיבוי וורד - MechLex_Visual_Admin_Fork/tests/browser-layout.cjs.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/גיבוי וורד - MechLex_Visual_Admin_Fork/tests/browser-smoke.cjs.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/גיבוי וורד - MechLex_Visual_Admin_Fork/tests/build-manifest.cjs.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/גיבוי וורד - MechLex_Visual_Admin_Fork/tests/build-word-backup.py.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/גיבוי וורד - MechLex_Visual_Admin_Fork/tests/README_HE.txt.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/גיבוי וורד - MechLex_Visual_Admin_Fork/tests/shared-sync.cjs.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/גיבוי וורד - MechLex_Visual_Admin_Fork/tests/validate-project.cjs.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/גיבוי וורד - MechLex_Visual_Admin_Fork/TEST_REPORT_HE.txt.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/גיבוי וורד - MechLex_Visual_Admin_Fork/VERSION.txt.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/גיבוי וורד - MechLex_Visual_Admin_Fork/הוראות_התקנה.txt.docx","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-a/הוראות_התקנה.txt","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-b/app.js","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-b/backups/content-backup-initial.json","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-b/backups/full-admin-backup-initial.json","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-b/backups/README.md","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-b/CHANGELOG_HE.txt","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-b/core/boot.js","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-b/core/inline-editor.js","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-b/core/integrity.js","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-b/core/persistence.js","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-b/core/README.md","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-b/core/shared-sync.js","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-b/core/start-local-server.ps1","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-b/data/mechlex-data.js","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-b/data/README.md","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-b/images/catalog.js","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-b/images/mechlex-icon.svg","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-b/images/README.md","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-b/images/README_IMAGES.txt","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-b/index.html","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-b/QUALITY_REPORT_HE.txt","QA","Yes","No","Incorrect runtime-required label"
"qa/workspaces/concurrency-b/README.md","QA","Yes","No","Incorrect runtime-required label"
